trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.016409,0.014836,0.024734,0.015466,nan,0.002692,-0.015502,-0.002264,0.002806,0.006478,-0.007418,-0.001907,0.000638,-0.004584,-0.009088,0.001483,-0.017786,nan,-0.012630,-0.018056
1,1000,1,0.018486,0.016709,0.017636,0.015388,-0.007569,-0.000621,0.004087,0.001419,-0.004483,0.007900,0.011727,-0.001592,0.007101,-0.002080,0.000802,0.005247,nan,-0.014441,-0.016619,nan
2,1000,1,0.014210,nan,0.016693,nan,-0.012325,-0.003788,0.003699,0.001781,0.000970,0.000171,-0.000551,-0.006139,-0.003703,-0.001289,0.001256,-0.007169,-0.023019,-0.018938,-0.013971,-0.019210
3,1000,1,0.018356,0.017241,0.016138,0.033046,0.010065,-0.002792,0.000424,-0.001048,nan,0.003286,nan,-0.002903,-0.001203,-0.007767,-0.001788,-0.002809,-0.023030,-0.003441,-0.014389,-0.014948
4,1000,1,0.013186,0.025364,0.020344,0.022023,-0.010287,-0.001833,0.000068,0.007597,0.003508,nan,0.003054,0.002112,0.001051,-0.005513,-0.003242,0.004771,-0.020336,-0.011474,nan,-0.020548
5,1000,1,0.021008,0.017015,0.019332,0.020817,nan,0.001224,-0.002443,0.002450,nan,0.002179,0.000252,0.005253,0.002544,0.001893,-0.002118,-0.001432,-0.014635,-0.032351,-0.020994,-0.018942
6,1000,1,0.019367,nan,0.023386,0.020256,0.004971,nan,-0.003311,-0.000542,0.001414,-0.008934,0.014424,-0.006917,0.000205,0.002238,0.006465,0.003846,-0.023118,-0.007095,-0.029672,-0.023000
7,1000,1,0.015272,0.022796,0.024913,0.018678,-0.006268,-0.006176,0.002980,-0.000226,0.002826,nan,-0.004981,-0.011941,-0.003965,0.000642,-0.005134,0.000100,-0.013367,-0.011383,-0.010435,nan
8,1000,1,0.014656,nan,0.023138,0.010244,-0.003821,0.004829,0.000639,-0.000535,-0.005570,-0.002515,0.004643,-0.002412,0.000417,0.007330,-0.009000,0.017382,-0.013995,-0.011417,nan,-0.017688
9,1000,1,0.024205,0.023413,0.018529,0.019144,0.000431,-0.004321,nan,-0.002944,-0.001449,-0.006689,nan,-0.001049,-0.015526,-0.010076,-0.003450,0.006236,-0.020308,-0.035055,-0.018998,-0.015360
