trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5
0,1000,1,0.014582,0.026453,0.002521,-0.000120,-0.031164,-0.020712
1,1000,1,0.016448,0.020052,0.001396,0.007770,-0.015191,-0.019464
2,1000,1,0.020938,0.014108,0.001990,-0.001592,-0.019388,-0.014715
3,1000,1,0.015607,0.016897,-0.003811,-0.002801,-0.026040,-0.027276
4,1000,1,0.017213,0.014142,-0.000334,-0.003050,-0.018817,-0.016300
5,1000,1,0.019600,0.017236,0.000201,0.003414,-0.019737,-0.022136
6,1000,1,0.016788,0.020941,0.004072,0.000067,-0.019994,-0.032847
7,1000,1,0.020180,0.018219,-0.001879,0.004609,-0.012680,-0.023126
8,1000,1,0.015894,0.019871,-0.002950,-0.001241,-0.024020,-0.023316
9,1000,1,0.013683,0.016505,0.000428,0.000185,-0.023078,-0.022738
10,1000,1,0.027786,0.020389,0.000118,0.006061,-0.034093,-0.021479
11,1000,1,0.018735,0.015160,-0.002210,-0.000820,-0.019343,-0.030738
12,1000,1,0.020820,0.026807,0.003922,-0.004571,-0.018592,-0.026566
13,1000,1,0.018634,0.017957,-0.001062,-0.003559,-0.015452,-0.018579
14,1000,1,0.014496,0.021612,0.002337,-0.000792,-0.018301,-0.014596
15,1000,1,0.023437,0.017088,0.000305,0.004168,-0.016225,-0.024493
16,1000,1,0.021660,0.030919,0.003740,0.002962,-0.019580,-0.018049
17,1000,1,0.019232,0.016029,-0.003364,0.005521,-0.018880,-0.016101
18,1000,1,0.016857,0.021176,-0.003899,0.003210,-0.019148,-0.012421
19,1000,1,0.020589,0.017176,0.003135,-0.003223,-0.014429,-0.017154
20,1000,1,0.023158,0.014247,-0.001756,-0.001249,-0.021312,-0.013612
21,1000,1,0.019037,0.014062,-0.001870,0.001625,-0.026790,-0.015804
22,1000,1,0.018420,0.019885,-0.001952,0.004055,-0.027680,-0.017538
23,1000,1,0.027238,0.018254,-0.002362,0.001137,-0.020957,-0.025078
24,1000,1,0.018221,0.018512,0.002989,0.000064,-0.022017,-0.022592
25,1000,1,0.021985,0.018547,-0.007511,-0.002952,-0.022090,-0.021349
26,1000,1,0.017754,0.014856,-0.005551,0.000248,-0.028545,-0.017788
27,1000,1,0.024220,0.018982,0.000351,0.003320,-0.023620,-0.028813
28,1000,1,0.019833,0.014759,0.000020,-0.000508,-0.016236,-0.017395
29,1000,1,0.018622,0.014908,-0.004021,0.000418,-0.017180,-0.019203
30,1000,1,0.021044,0.019045,-0.000949,0.002264,-0.013850,-0.027406
31,1000,1,0.029547,0.025072,-0.002073,0.001700,-0.013281,-0.016229
