trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5
0,1000,1,0.019002,0.027660,0.004010,-0.002598,-0.037585,-0.012047
1,1000,1,0.014570,0.019116,0.002220,0.008262,-0.018578,-0.019514
2,1000,1,0.020734,0.016593,0.005821,-0.003812,-0.017501,-0.020522
3,1000,1,0.013837,0.018454,-0.003453,-0.001843,-0.027308,-0.026745
4,1000,1,0.018007,0.018345,0.006105,0.002436,-0.020823,-0.018895
5,1000,1,0.019078,0.013238,-0.000137,0.000904,-0.019196,-0.021121
6,1000,1,0.013556,0.024860,0.005605,0.000086,-0.024722,-0.030106
7,1000,1,0.015843,0.017738,-0.008594,0.002649,-0.010514,-0.017472
8,1000,1,0.013533,0.016794,-0.000373,0.003536,-0.016905,-0.019544
9,1000,1,0.013881,0.017648,-0.001959,0.002248,-0.008452,-0.017014
10,1000,1,0.014046,0.023049,-0.001779,0.010707,-0.016712,-0.021098
11,1000,1,0.016388,0.014757,-0.001492,0.000359,-0.019072,-0.033673
12,1000,1,0.017578,0.026633,0.005575,-0.012934,-0.018126,-0.021560
13,1000,1,0.018108,0.019422,-0.001586,-0.001469,-0.013182,-0.015627
14,1000,1,0.009797,0.017461,0.002007,-0.000089,-0.018732,-0.014066
15,1000,1,0.024072,0.016273,-0.000103,0.003015,-0.012898,-0.024318
16,1000,1,0.021429,0.025665,0.010973,0.001142,-0.014127,-0.015769
17,1000,1,0.015944,0.017797,-0.001219,0.001122,-0.023354,-0.009391
18,1000,1,0.016376,0.020081,-0.005315,0.003759,-0.010652,-0.009542
19,1000,1,0.012380,0.018077,0.005318,-0.001386,-0.013949,-0.014793
20,1000,1,0.022645,0.010354,-0.005542,0.003588,-0.020635,-0.009903
21,1000,1,0.017788,0.013409,-0.004093,0.004140,-0.031207,-0.017219
22,1000,1,0.021698,0.019127,-0.003375,0.004288,-0.022171,-0.012980
23,1000,1,0.023143,0.017848,-0.001484,0.001077,-0.016946,-0.032974
24,1000,1,0.017436,0.020539,0.003367,0.004756,-0.017356,-0.014055
25,1000,1,0.017526,0.011712,-0.010329,-0.003060,-0.022145,-0.013674
26,1000,1,0.017070,0.019730,-0.005818,0.000027,-0.026281,-0.019724
27,1000,1,0.019508,0.018893,-0.000046,-0.001569,-0.014346,-0.017849
28,1000,1,0.027566,0.015096,-0.002171,-0.001399,-0.025414,-0.009452
29,1000,1,0.020609,0.014300,-0.002412,0.000939,-0.014560,-0.022398
30,1000,1,0.020669,0.017677,0.010330,0.007518,-0.018184,-0.023565
31,1000,1,0.028691,0.024510,-0.001448,0.003219,-0.013640,-0.015774
32,1000,1,0.018448,0.019618,0.002522,0.001153,-0.020168,-0.019419
33,1000,1,0.022768,0.020105,-0.001289,0.001069,-0.013429,-0.016859
