trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.021590,0.016560,0.016283,0.019275,-0.003925,-0.003324,0.001479,0.000542,-0.001602,0.005284,0.000400,-0.000938,-0.003024,-0.004516,-0.023032,-0.024238,-0.019398,-0.005814
1,1000,1,0.013048,0.016306,0.016720,0.015868,0.002997,-0.006622,0.003604,-0.001111,-0.001110,0.006276,-0.004536,-0.009697,-0.000320,0.004909,-0.018348,-0.021942,-0.013514,-0.013300
2,1000,1,0.005648,0.030751,0.015041,0.016320,-0.000868,-0.004415,0.004042,-0.002388,0.000658,-0.005709,-0.000169,-0.009030,-0.000497,-0.001385,-0.020448,-0.014965,-0.017017,-0.016069
3,1000,1,0.022344,0.021712,0.017545,0.015614,-0.001499,-0.004956,-0.003211,-0.002678,0.001725,-0.000411,0.003288,-0.003019,0.008811,-0.002945,-0.017588,-0.014751,-0.022984,-0.016137
4,1000,1,0.016731,0.016867,0.012761,0.017166,0.003873,0.003588,-0.001691,0.001595,0.002614,0.000520,-0.000496,-0.001056,-0.002425,-0.001023,-0.025704,-0.016780,-0.019175,-0.022901
5,1000,1,0.027859,0.024573,0.019754,0.026194,0.001470,0.004559,-0.001495,0.001090,0.002217,-0.002460,-0.006384,-0.005811,-0.001370,-0.000053,-0.023092,-0.021055,-0.032924,-0.020008
6,1000,1,0.017084,0.015438,0.017087,0.019733,0.004079,-0.000907,-0.001416,0.004199,0.003813,0.000756,0.000047,-0.000075,0.002919,-0.007290,-0.008607,-0.013379,-0.023018,-0.024478
7,1000,1,0.026866,0.019179,0.015320,0.016707,0.001817,0.000999,-0.006077,-0.004266,-0.000447,-0.001340,0.000807,-0.003099,0.004810,0.004307,-0.024056,-0.029538,-0.010604,-0.016774
8,1000,1,0.014963,0.028037,0.020682,0.013592,0.000331,0.001524,0.000634,0.001825,0.005162,-0.004743,0.009286,-0.003215,-0.000336,-0.005921,-0.012970,-0.012927,-0.016661,-0.030017
9,1000,1,0.018654,0.010232,0.013186,0.022831,-0.001349,-0.013182,-0.013210,0.006615,0.002716,-0.004422,-0.000444,-0.006130,-0.001059,-0.002995,-0.019722,-0.020629,-0.025161,-0.023308
10,1000,1,0.026110,0.015833,0.012401,0.023951,0.003556,0.005186,0.002289,0.001088,0.000470,0.007162,-0.004014,0.001790,-0.000536,-0.011894,-0.022389,-0.017131,-0.008603,-0.017294
11,1000,1,0.013850,0.015233,0.011360,0.018378,-0.000992,-0.002916,0.003231,0.002085,-0.004364,-0.000975,0.001163,-0.001533,-0.003796,0.001798,-0.014958,-0.025189,-0.016534,-0.013700
12,1000,1,0.027027,0.026939,0.020291,0.019338,0.008492,-0.000056,-0.004152,-0.004039,-0.003526,-0.004812,-0.001140,0.007345,0.002786,0.004205,-0.019202,-0.013575,-0.015064,-0.019186
13,1000,1,0.018319,0.008799,0.019437,0.020608,0.000100,-0.003778,-0.001800,0.008234,0.006839,0.003468,0.000246,0.003497,0.001267,0.004223,-0.024939,-0.017406,-0.017998,-0.020415
14,1000,1,0.019786,0.017474,0.021245,0.016595,0.000059,0.000417,-0.005952,-0.005767,0.007197,-0.005518,-0.000997,0.005518,0.002137,-0.015573,-0.022339,-0.030585,-0.016927,-0.020474
15,1000,1,0.016990,0.014725,0.022300,0.012771,0.000824,0.000760,-0.002780,-0.002405,0.003939,0.003310,-0.001074,-0.001745,0.000193,0.000160,-0.022704,-0.013617,-0.014667,-0.015516
16,1000,1,0.019884,0.014218,0.009709,0.026656,-0.004959,0.001497,-0.000164,-0.000741,-0.006281,0.002801,0.001601,0.000047,0.001628,0.000634,-0.015162,-0.030341,-0.017138,-0.023814
17,1000,1,0.012974,0.012485,0.023025,0.017024,0.000191,-0.003320,0.001236,0.001953,0.000073,-0.000998,0.001097,0.002492,0.001593,-0.001330,-0.017483,-0.021925,-0.007300,-0.021988
18,1000,1,0.021029,0.014871,0.020076,0.017801,-0.000971,-0.000569,0.005225,0.001573,-0.000469,0.003418,-0.006116,-0.001207,0.002930,-0.000926,-0.030163,-0.017898,-0.010493,-0.015718
19,1000,1,0.026553,0.016495,0.016615,0.022825,0.001503,-0.000925,0.000631,-0.006221,0.001689,-0.001933,-0.002498,0.001460,0.005892,0.004763,-0.003925,-0.015212,-0.021754,-0.022979
20,1000,1,0.016196,0.019364,0.018888,0.014038,0.002370,0.002962,-0.003870,0.000538,-0.002485,0.003264,-0.003208,-0.006601,-0.000956,0.005684,-0.021575,-0.023293,-0.009560,-0.013853
21,1000,1,0.014755,0.020223,0.019647,0.035684,-0.001896,-0.004985,0.001159,-0.004781,-0.000406,0.004939,-0.001304,-0.009250,0.000090,-0.001798,-0.020751,-0.026454,-0.031275,-0.019038
22,1000,1,0.018253,0.019407,0.021828,0.019302,0.007026,0.001601,0.002577,-0.005047,0.004861,-0.001170,-0.000881,0.002072,0.001858,0.001072,-0.022759,-0.021220,-0.018022,-0.014276
23,1000,1,0.021712,0.022923,0.022554,0.023788,0.011607,-0.001806,0.005780,0.002055,-0.007170,0.006745,-0.002211,-0.004947,-0.002092,-0.009194,-0.012770,-0.010124,-0.013616,-0.016845
24,1000,1,0.039758,0.008401,0.017132,0.019278,0.006404,0.003857,0.007181,-0.000149,0.003421,0.000230,0.003795,0.001233,0.002891,0.002200,-0.012024,-0.018767,-0.022146,-0.008420
25,1000,1,0.024716,0.013552,0.015151,0.041625,0.001860,-0.005494,-0.017524,-0.001372,-0.009711,-0.003234,0.003824,0.002727,0.003064,-0.003936,-0.021580,-0.035852,-0.026371,-0.017694
26,1000,1,0.012725,0.026947,0.010543,0.017300,0.000461,0.004642,0.000768,0.001003,-0.014423,-0.007395,0.003049,-0.000012,-0.001396,-0.000639,-0.017129,-0.018836,-0.009560,-0.015417
27,1000,1,0.025528,0.014034,0.023781,0.019686,-0.003427,-0.003172,0.000636,-0.006244,-0.004088,-0.005313,-0.001790,-0.000179,-0.001259,0.000061,-0.026247,-0.016213,-0.013414,-0.017819
28,1000,1,0.018338,0.019834,0.021911,0.024017,0.000759,-0.004089,0.001808,-0.008750,0.000911,-0.002877,0.010148,0.005787,-0.001772,0.002301,-0.021144,-0.018152,-0.021237,-0.016975
29,1000,1,0.019534,0.020704,0.025540,0.017550,0.003781,-0.001347,0.002995,-0.001625,0.003495,0.007778,-0.003151,-0.010599,-0.000131,0.004455,-0.019720,-0.014351,-0.013278,-0.015442
30,1000,1,0.015132,0.029898,0.036650,0.009318,0.002646,-0.000622,0.003558,-0.004242,-0.000448,-0.005661,-0.000425,-0.001845,0.006418,0.002023,-0.017611,-0.024438,-0.019644,-0.013828
