trajectory,ns,delta_t,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_11,sc_12,sc_13,sc_14,sc_15,sc_16,sc_17,sc_18,sc_19
0,1000,1,0.020548,0.015420,0.018211,0.021631,-0.000837,-0.000970,-0.002320,-0.000079,-0.002634,0.002654,-0.000428,-0.001991,-0.002227,-0.006849,-0.022325,-0.019054,-0.018566,-0.010146
1,1000,1,0.013706,0.017517,0.014416,0.016347,0.000243,-0.004185,0.004343,0.000615,0.000680,0.001973,-0.000563,-0.008544,0.003193,0.001628,-0.021309,-0.018777,-0.014682,-0.014050
2,1000,1,0.010935,0.029924,0.015448,0.017593,0.001564,-0.005935,0.003352,-0.000614,0.001247,-0.007043,-0.002178,-0.009067,-0.001758,0.000166,-0.016340,-0.009095,-0.016972,-0.015561
3,1000,1,0.019365,0.021078,0.017473,0.017594,-0.000296,-0.002029,-0.003336,-0.003877,0.002833,0.002456,0.001126,-0.000813,0.003794,-0.000787,-0.017668,-0.014427,-0.020648,-0.014539
4,1000,1,0.021278,0.018582,0.017070,0.017562,0.001885,-0.000402,0.003620,0.001808,0.003751,-0.000690,0.002124,-0.002100,-0.003625,-0.001634,-0.023169,-0.017960,-0.021031,-0.021826
5,1000,1,0.024343,0.021573,0.014651,0.026579,-0.000835,0.001304,0.000659,0.000086,0.001863,-0.002906,-0.003947,-0.002243,-0.002273,0.000915,-0.018163,-0.020498,-0.021204,-0.020600
6,1000,1,0.021002,0.015541,0.019853,0.019144,0.002443,-0.000546,-0.003353,0.002866,0.005756,-0.001555,-0.000155,0.001573,0.002309,-0.006887,-0.007889,-0.014745,-0.024845,-0.021475
7,1000,1,0.022981,0.021819,0.016653,0.018341,0.000628,-0.000616,-0.003324,-0.001991,-0.000748,-0.001866,0.001258,-0.004121,0.000307,0.003152,-0.021239,-0.024560,-0.010971,-0.015307
8,1000,1,0.013155,0.022013,0.018723,0.016331,-0.003137,-0.001903,0.000827,0.001265,0.002668,-0.005360,0.007898,-0.004255,-0.000815,-0.003387,-0.013831,-0.012359,-0.016188,-0.020848
9,1000,1,0.016413,0.015144,0.012088,0.023161,-0.000601,-0.008859,-0.013343,0.004160,0.000258,-0.004035,0.000025,-0.001580,-0.001661,-0.003268,-0.023345,-0.024007,-0.026004,-0.020241
