trajectory,sc_0,sc_1,sc_2,sc_3,sc_4,sc_5,sc_6,sc_7,sc_8,sc_9,sc_10,sc_11,sc_12,sc_14,sc_15,sc_16,sc_17,sc_19
0,0.015253,0.014333,0.019989,0.009993,0.000638,-0.001810,-0.003029,-0.001113,0.008036,0.003302,-0.002643,-0.015860,0.005977,-0.006632,-0.009529,-0.017128,-0.015265,-0.020317
1,0.014101,0.018103,0.019166,0.016591,0.000115,0.000747,-0.001152,-0.002263,0.000143,0.001465,0.001698,0.002736,-0.002710,-0.001835,-0.000240,-0.005588,-0.016375,-0.008393
2,0.013856,0.009606,0.014120,0.013477,-0.007699,0.005139,-0.000770,0.003088,0.005424,-0.003642,-0.002649,-0.000159,-0.006084,-0.000618,0.006877,-0.017575,-0.013841,-0.010843
3,0.011850,0.015010,0.012415,0.015705,0.002320,0.001457,0.003667,-0.003923,0.003162,0.007092,-0.006424,-0.001257,0.011441,0.007469,0.002721,-0.019267,-0.019898,-0.014306
4,0.009940,0.019397,0.015406,0.017378,-0.000659,-0.003700,0.000346,-0.006324,-0.010196,0.001909,-0.001859,0.007092,-0.002835,-0.003004,0.011590,-0.009376,-0.009544,-0.014202
5,0.013680,0.024393,0.018211,0.018511,-0.000377,0.001933,-0.005271,-0.012265,0.002604,-0.005147,0.008110,-0.005442,0.004959,-0.003515,0.009840,-0.006387,-0.021752,-0.007958
6,0.016955,0.015161,0.017965,0.014679,-0.004375,0.005783,-0.004194,0.005332,-0.009747,0.000686,0.005816,-0.000972,-0.004333,0.003032,0.001280,-0.007044,-0.015154,-0.010159
7,0.019290,0.017974,0.006765,0.009737,-0.006384,0.003253,0.000891,-0.000166,-0.003182,0.004213,-0.001197,-0.011972,-0.004184,-0.000380,0.000730,-0.018096,-0.006936,-0.013483
8,0.023748,0.013898,0.023270,0.014913,-0.016430,-0.003285,0.002283,-0.005182,-0.005764,-0.005121,0.005626,0.003368,0.008426,-0.001359,-0.002935,-0.016106,-0.013665,-0.009256
9,0.015265,0.010977,0.013398,0.006174,0.009251,-0.000359,-0.000870,-0.007511,-0.001658,-0.005021,0.000931,0.006298,0.009755,-0.002653,0.007248,-0.009518,-0.009657,-0.008169
10,0.018121,0.021801,0.008538,0.017535,-0.005868,-0.004126,0.003591,-0.006398,0.000164,0.000398,-0.007187,-0.006871,-0.006345,-0.000623,-0.001556,-0.007269,-0.019984,-0.015417
11,0.015024,0.015071,0.011058,0.013788,0.005188,-0.000567,0.009418,0.004120,-0.003727,-0.008201,-0.002397,0.003334,-0.002513,0.004633,0.000679,-0.021220,-0.012609,-0.016939
12,0.010730,0.014553,0.018607,0.014225,-0.007362,-0.000801,0.005386,-0.003163,-0.001463,0.001275,-0.000079,-0.005143,-0.000448,-0.002910,0.002736,-0.010869,-0.013985,-0.008784
13,0.012909,0.013638,0.017049,0.016499,0.001302,-0.002993,0.004703,-0.006328,0.008035,0.002900,-0.008048,0.001802,-0.000114,-0.008863,0.010826,-0.012758,-0.014952,-0.012564
14,0.015022,0.019666,0.017055,0.020525,0.004266,-0.006493,-0.007826,0.001316,0.003330,-0.004593,-0.010387,-0.002066,0.007432,0.004244,-0.004353,-0.011465,-0.009246,-0.018103
15,0.015240,0.018059,0.008361,0.016125,0.004466,0.000876,0.002703,-0.001963,-0.000840,-0.006668,0.000491,-0.001042,-0.003696,-0.004324,0.001912,-0.014996,-0.012496,-0.012408
16,0.018631,0.012611,0.019666,0.010743,0.003011,-0.005885,0.017398,-0.005815,-0.001451,-0.000901,-0.003647,-0.003031,-0.001857,-0.002205,-0.003895,-0.017174,-0.006808,-0.006926
17,0.013637,0.019827,0.015902,0.014569,0.005261,-0.000952,0.002540,-0.008645,-0.007208,-0.004288,-0.010244,0.002595,-0.010730,0.000667,0.007247,-0.006372,-0.015007,-0.013618
18,0.015742,0.018562,0.022029,0.016508,0.003026,-0.001662,0.002164,-0.004969,-0.002775,0.004400,-0.005650,0.003929,0.006984,-0.003381,-0.000099,-0.011972,-0.015189,-0.010321
19,0.013520,0.014414,0.015891,0.011689,-0.002992,0.000179,-0.004022,-0.009004,0.001602,-0.000002,-0.000661,0.000507,-0.002248,0.002304,-0.001614,-0.014554,-0.013075,-0.016507
20,0.015221,0.007236,0.011345,0.018948,-0.005549,-0.002494,0.007643,-0.003727,-0.000932,-0.000909,-0.004406,0.003193,0.000083,0.003802,0.003159,-0.020145,-0.017212,-0.018540
21,0.021207,0.020428,0.012089,0.016694,-0.002217,-0.006048,0.005831,0.002559,-0.002741,0.000999,-0.001843,-0.004871,-0.010170,-0.004165,0.005814,-0.013969,-0.001601,-0.009861
22,0.010102,0.021417,0.006996,0.008851,0.000105,-0.001166,-0.001924,0.002155,0.001275,-0.000585,0.000200,0.004482,0.001971,0.000741,0.004572,-0.010853,-0.015520,-0.009826
23,0.018932,0.007141,0.016470,0.014230,0.000654,0.000590,-0.009873,0.004836,0.003024,-0.004143,-0.005717,0.000237,-0.001538,-0.005328,0.003840,-0.017156,-0.005686,-0.008263
24,0.015526,0.010526,0.017747,0.016163,-0.007621,0.000730,0.001374,-0.004672,-0.003515,-0.007395,-0.000484,-0.000324,0.007964,-0.001463,0.006665,-0.015798,-0.015920,-0.013534
25,0.019232,0.018762,0.013932,0.020901,-0.005723,0.001378,0.003251,0.000817,-0.002941,-0.000112,0.001231,-0.007993,-0.006874,0.000985,-0.007843,-0.011854,-0.023880,-0.007827
26,0.018626,0.019919,0.012984,0.015917,0.001627,-0.004851,-0.000369,-0.004163,-0.008099,0.004916,0.003263,-0.001780,-0.002655,0.004263,-0.005584,-0.011613,-0.008236,-0.020096
27,0.012485,0.014152,0.019912,0.004770,-0.002762,-0.004988,-0.007753,0.004941,0.001369,0.003707,0.004980,-0.009781,0.000102,-0.009801,-0.001817,-0.017843,-0.013938,-0.016276
28,0.010165,0.019324,0.010984,0.015295,0.007674,0.002799,0.002319,0.001424,0.004063,-0.001093,-0.002726,0.006413,0.003206,-0.001384,0.000333,-0.016141,-0.014719,-0.016525
29,0.013512,0.013517,0.006621,0.015719,-0.012983,0.006121,0.000991,-0.002829,0.001029,0.000067,-0.000496,0.009356,0.007656,-0.008421,-0.008090,-0.015161,-0.009383,-0.014069
30,0.011717,0.017821,0.011876,0.014612,0.001055,0.009633,0.003719,0.004334,0.009034,0.001922,0.001895,0.002675,0.003112,-0.005674,0.008609,-0.005658,-0.011259,-0.018062
31,0.016335,0.010821,0.015845,0.017308,-0.000837,-0.003954,0.005096,-0.012522,-0.002188,0.003285,-0.000141,-0.006509,0.000238,-0.002063,-0.000147,-0.021135,-0.009591,-0.017804
32,0.013574,0.011473,0.023482,0.023946,0.001220,0.002005,0.001401,-0.005025,-0.002407,-0.001808,-0.000664,0.003165,0.003634,-0.002548,0.003039,-0.012505,-0.017029,-0.018031
33,0.016047,0.018784,0.014681,0.009048,-0.001640,-0.002726,-0.003825,0.006198,0.001008,-0.001592,-0.000170,0.000761,0.006957,-0.003921,0.003763,-0.015188,-0.014018,-0.011636
34,0.011307,0.013553,0.017161,0.011799,0.000046,0.000415,-0.000558,0.001732,-0.004571,0.002864,-0.002537,0.007492,-0.001796,-0.007455,0.004566,-0.015005,-0.014921,-0.014455
35,0.013292,0.017975,0.017271,0.017238,0.001205,0.000195,-0.004678,0.007131,-0.002949,-0.000696,-0.002747,0.005485,0.006835,-0.001498,0.008399,-0.017705,-0.012371,-0.019765
36,0.021437,0.013242,0.013547,0.015300,0.000816,-0.013538,0.003114,-0.005954,-0.001595,0.002253,0.002942,0.002608,0.003028,-0.004758,0.009289,-0.020970,-0.012139,-0.014740
37,0.011439,0.013294,0.016138,0.020254,-0.003410,-0.003525,-0.006382,-0.002348,-0.000724,0.000785,-0.001112,0.002370,0.008052,0.003945,-0.007658,-0.026478,-0.017478,-0.017488
38,0.017919,0.018877,0.014939,0.014143,-0.003013,-0.005452,0.004739,-0.005653,-0.003244,0.000767,-0.001930,0.000226,0.002995,0.000108,-0.002652,-0.012813,-0.016728,-0.019252
39,0.013240,0.016277,0.010788,0.015978,-0.009399,-0.001872,-0.006232,0.002149,0.000938,0.000248,0.010241,0.002715,-0.003552,-0.003631,-0.000417,-0.009916,-0.007527,-0.008475
40,0.016372,0.020736,0.013046,0.014969,0.003093,0.002108,-0.000742,-0.003084,-0.014055,0.002433,-0.010114,-0.003795,-0.003696,-0.006477,0.000241,-0.009218,-0.005356,-0.013313
41,0.021563,0.021158,0.015373,0.017598,-0.003160,-0.000994,0.004810,-0.005710,-0.001147,0.001484,-0.001948,-0.000209,-0.000055,-0.003968,-0.000832,-0.010116,-0.010634,-0.008585
42,0.019327,0.011191,0.012717,0.013994,0.001478,-0.005851,-0.007011,-0.010170,0.000177,0.000081,-0.002903,-0.007390,0.002243,-0.005179,0.002557,-0.012083,-0.014257,-0.012858
43,0.014808,0.015962,0.016732,0.015249,0.003010,0.001984,0.001942,-0.001430,0.000048,-0.009561,-0.000695,0.005321,0.012300,0.004994,0.000722,-0.019987,-0.016380,-0.016726
44,0.015073,0.012142,0.014888,0.015888,-0.006452,-0.003119,0.013632,0.000208,-0.001745,-0.002535,-0.002710,0.004196,0.009923,-0.005705,-0.004843,-0.007000,-0.007367,-0.009578
45,0.015371,0.013854,0.004757,0.018149,-0.006962,-0.000463,0.000212,0.004880,-0.003599,0.003120,0.006402,-0.004853,0.013485,0.000212,0.003582,-0.011718,-0.014353,-0.014186
46,0.014070,0.022061,0.006967,0.028279,-0.001789,0.003067,0.007652,-0.005002,-0.000875,0.001137,0.001217,-0.000495,-0.009520,0.012118,0.005221,-0.015215,-0.014493,-0.009166
47,0.014789,0.012081,0.010980,0.012423,-0.007899,-0.000524,-0.001134,-0.000970,-0.000333,0.005052,0.003509,-0.006624,0.001792,-0.000513,0.001995,-0.013295,-0.010382,-0.011586
48,0.019318,0.014937,0.009787,0.011226,0.001251,0.002632,0.006495,-0.003159,-0.005342,-0.004840,-0.000009,-0.002519,0.005067,-0.003837,0.004807,-0.014339,-0.014071,-0.014155
49,0.009454,0.013668,0.009772,0.011995,-0.000259,0.004709,-0.005678,0.002826,-0.000718,-0.001018,-0.000720,-0.008706,0.002859,-0.000095,0.007136,-0.011274,-0.017454,-0.007992
50,0.010695,0.014552,0.019296,0.010705,-0.001518,-0.005168,0.000760,-0.006424,-0.003151,-0.006226,-0.004201,-0.006608,0.004614,-0.005853,-0.000052,-0.012863,-0.011141,-0.015214
51,0.014408,0.014364,0.011871,0.020612,0.001135,0.000179,0.004414,-0.003148,0.000008,0.002566,-0.004893,-0.002756,0.002359,0.002788,0.001988,-0.013681,-0.017237,-0.004611
52,0.014317,0.012969,0.015773,0.020465,-0.000481,-0.002735,0.003814,0.005211,0.001900,0.002807,-0.002821,-0.000150,0.004113,-0.000584,-0.003429,-0.013065,-0.012577,-0.013741
53,0.021687,0.019140,0.010987,0.014268,-0.003399,0.003965,0.005878,-0.008473,-0.004405,0.007059,-0.009037,0.004481,0.003621,-0.000966,-0.000693,-0.009122,-0.017858,-0.017699
54,0.016432,0.015907,0.007024,0.018142,0.005494,0.002573,-0.007728,0.002524,-0.008446,-0.001617,0.001613,0.001660,0.003914,-0.003183,0.000990,-0.012279,-0.014093,-0.017493
55,0.012445,0.014166,0.014432,0.018174,-0.000616,0.004004,-0.007044,-0.002702,0.002706,-0.002562,-0.001573,0.000061,0.002932,0.002077,-0.009695,-0.011367,-0.016359,-0.004546
56,0.015691,0.013634,0.006083,0.008447,-0.006813,-0.003708,-0.005502,0.004016,-0.011558,-0.003848,0.004909,-0.001505,0.001044,-0.001791,0.000939,-0.008603,-0.015071,-0.017834
57,0.027488,0.014064,0.016186,0.021264,-0.001726,-0.003130,-0.000857,0.001952,0.002457,0.002249,-0.006475,-0.002369,0.000502,-0.003526,0.005219,-0.012895,-0.016889,-0.016260
58,0.017492,0.018263,0.011677,0.016732,0.003968,0.000418,-0.005620,0.003855,-0.001048,0.005526,-0.002063,0.005302,0.005132,-0.000506,-0.000493,-0.015057,-0.016034,-0.016755
59,0.013858,0.021762,0.011506,0.017189,-0.001115,-0.005330,-0.001230,0.007031,-0.008437,-0.002231,-0.001135,0.001974,-0.000193,-0.010271,0.001989,-0.018413,-0.015660,-0.001359
60,0.016586,0.023163,0.011815,0.007876,-0.006853,-0.004916,-0.003299,-0.000078,-0.005845,0.000677,-0.001160,-0.001535,0.002810,-0.002370,0.002935,-0.010843,-0.014804,-0.011907
61,0.013081,0.016074,0.018763,0.011100,0.005935,-0.006085,-0.002867,0.000095,-0.007320,0.002094,0.000941,-0.002941,0.010084,-0.009924,-0.001093,-0.016998,-0.018082,-0.006858
62,0.014339,0.009808,0.011314,0.016723,0.005907,0.000251,0.002189,-0.002203,0.002433,0.008615,0.000259,-0.000497,-0.002455,0.003470,0.002701,-0.012004,-0.020614,-0.016206
63,0.012185,0.015507,0.010410,0.010890,0.002532,0.001513,-0.002510,0.007523,0.006091,0.000240,-0.001865,-0.002434,-0.003717,-0.004745,-0.000951,-0.016278,-0.028037,-0.013629
